Order = 1; Elements: 1
Order = 2; Elements: 24053347438333477891808663527023594909078574834094309839458686480760597495103969461
Order = 3; Elements: 14050616803387156720538403901351315412173824081036459852316559227461541728150260132428637993105119365736136
Order = 6; Elements: 24858384054100049384473345449958940529364537142151005003019509574938888688952479885130542998156270287482892465524037563873157015241663
Order = 4; Elements: 3931205545697916857325186730539263031926594152736710103758179294907466489845819168819110769920556211646894803517308640884
Order = 12; Elements: 2261163494957535900938324518428732519139249747640478600859345896582819257189776790814785635198729542449035635231947877159249092084539776
Order = 5; Elements: 738482584308253379092147168894161371745867517836630355704434871617053836415960688215005027137285201894234964623160566590742784
Order = 10; Elements: 30705199176154968875560784003713249125863040515017643290252256044588516941227134675584834455827640400331197174075771793505401058207371338698754
Order = 15; Elements: 146367337458887868036203941648460982922022370213111155337325644154027373197924638463290343366178361687511244722640758498249188863
Order = 30; Elements: 1050429227388333223715386523593484841196517660827969117185293008375600733916251256753266739308081155193069024546581957540395752114404581944122368
Order = 20; Elements: 108377586192053284980390588955684956354586758431496498465151642719544146855955674927780898964246746024467958453762779858713052383982828992347652
Order = 60; Elements: 3095504255473778747705581047554738577733367037399389030636752117225021813006112321220697981260865903814974217375012581418899569607312390109528064
Order = 7; Elements: 789636575633759168922728362864787636858057667731201353081553618602227375023205486938485572411397148352851581494037363161656659080343040
Order = 14; Elements: 1936850052800501826552162875840044808141907823195949223194077915549554134629576154696952041091453024592760371288172137019941799819490304
Order = 21; Elements: 3337171397326466611494748489962659915406283164702041612331987735388506665277597065058853391912001932157486268644435719024176157350275072
Order = 42; Elements: 16689298781892717073979363906269457696354216450595026230056217227057625318387568631991679315618177770570791066317347010422620118607303016448
Order = 28; Elements: 66796071625095787055680064815490385673840309312349188686262303555213765056934816968848267689876688133241998429655078588687484498307186688
Order = 84; Elements: 179806507959914654657989281883499537393180003476249804800418359767893400563130385137501086778287119650735551781798947895162023475534224162816
Order = 35; Elements: 53798505368645057940156392792510737650986592707010806045377253743156563897755820353231406723062268518819631231673353318162712395612422144
Order = 70; Elements: 593485276200947791808391144689768004243481059143650958980826397867821373875226688647289352653799321548104606365847176516640538707449703806533632
Order = 105; Elements: 391477049433282241564164110299177748367489534014563939333385969599862445272393680275965429480353210498738665918396545513489455080286453760
Order = 210; Elements: 13493896585543523157161966969765539545238927883029170600082061497990626449390427394196990063475158301102628664870955864320644474102160740749148160
Order = 140; Elements: 1710768019628368857106972376030941418349176191760539316677489947089134903279457375091617142448218124878336493595535065967624778961179917387038720
Order = 420; Elements: 33370267280813948966820411863166070476060952071175121584747103621970782762453746153591891102184052686805831589575156452188289464081865716313096192
Order = 8; Elements: 11513295953004374161437550281829015135576962458699258357862864710315783660569030455730841857144937499480922897059077441102052125000628978495
Order = 24; Elements: 3849720805794106870074908802104454301303425936471810495368568750496514170931965462967670285731472070488263121471705455550792693203953748967424
